iter	RMSE
0	469.0847178
1	461.6934436
2	455.8435253
3	449.298905
4	443.481329
5	438.7648776
6	433.6990796
7	428.2111663
8	423.0001802
9	418.8165319
10	414.697693
11	408.7919846
12	403.0969129
13	398.8544379
14	393.6139361
15	389.3262863
16	386.1440267
17	382.7425011
18	378.5062406
19	374.9594719
20	372.2987663
21	369.3379035
22	365.7111212
23	363.4603646
24	361.0541674
25	356.9977693
26	354.730786
27	351.4430516
28	349.2575916
29	347.1709593
30	344.5875485
31	342.520535
32	339.8659881
33	338.3246202
34	336.3478649
35	334.8798005
36	332.830999
37	330.967493
38	328.2636856
39	326.5941417
40	325.221256
41	323.7577147
42	322.5592948
43	320.8860228
44	319.8089153
45	318.5595919
46	317.4460906
47	315.7914786
48	314.4102713
49	313.3418291
50	312.5377185
51	311.1708065
52	310.0066781
53	308.7831929
54	307.3021986
55	306.4244826
56	305.3796593
57	304.3532272
58	303.1195189
59	302.3815257
60	300.8714258
61	299.7718553
62	298.9395241
63	298.433063
64	297.9611347
65	297.5619506
66	296.2849263
67	295.5131978
68	294.8986415
69	294.6349548
70	293.6852637
71	293.0316961
72	291.8500924
73	291.1056328
74	290.5022447
75	290.0900684
76	289.4136487
77	288.5657503
78	288.2218524
79	287.4617629
80	287.0001165
81	286.3690998
82	285.7843819
83	285.4579575
84	284.9319559
85	284.2874349
86	283.9620548
87	283.5744481
88	283.3086721
89	282.6214144
90	282.1620835
91	281.8669012
92	281.3082305
93	280.7960821
94	280.2298951
95	280.0097446
96	279.3730914
97	279.0929171
98	278.662897
99	278.3214017
100	277.9681811
101	277.3895548
102	277.0093204
103	276.7787063
104	276.5626762
105	275.8283314
106	275.5940622
107	275.1017001
108	274.9675106
109	274.5544159
110	274.2636529
111	274.1518192
112	273.8669355
113	273.6956308
114	273.4590567
115	273.0865599
116	272.8490057
117	272.6060297
118	272.2961812
119	272.1674867
120	271.9903696
121	271.7317511
122	271.5725838
123	271.174591
124	270.8187317
125	270.4947302
126	270.3297449
