iter	Passed	Remaining
0	475	474710
1	800	399228
2	1105	367313
3	1426	355245
4	1712	340749
5	2085	345506
6	2390	339095
7	2693	333986
8	3014	331875
9	3296	326334
10	3604	324084
11	3874	318975
12	4165	316260
13	4441	312838
14	4729	310538
15	4993	307079
16	5256	303920
17	5563	303504
18	5821	300596
19	6128	300280
20	6403	298536
21	6711	298344
22	6998	297283
23	7257	295133
24	7514	293084
25	7775	291299
26	8021	289088
27	8292	287884
28	8603	288063
29	8872	286872
30	9151	286068
31	9419	284939
32	9671	283418
33	10002	284181
34	10262	282961
35	10551	282553
36	10832	281930
37	11115	281406
38	11377	280359
39	11637	279296
40	11890	278120
41	12142	276972
42	12399	275959
43	12642	274696
44	12919	274170
45	13166	273068
46	13408	271871
47	13668	271092
48	13933	270431
49	14167	269185
50	14388	267742
51	14643	266961
52	14906	266342
53	15172	265793
54	15421	264963
55	15691	264506
56	15928	263522
57	16183	262844
58	16418	261864
59	16659	260997
60	16901	260166
61	17153	259513
62	17424	259153
63	17664	258337
64	17913	257682
65	18169	257131
66	18387	256055
67	18615	255144
68	18865	254549
69	19092	253656
70	19343	253099
71	19601	252640
72	19850	252070
73	20109	251640
74	20356	251059
75	20598	250439
76	20917	250741
77	21242	251092
78	21563	251389
79	21826	251005
80	22119	250959
81	22412	250913
82	22644	250177
83	22875	249449
84	23139	249092
85	23354	248210
86	23659	248292
87	23959	248312
88	24291	248650
89	24562	248357
90	24808	247811
91	25064	247380
92	25290	246654
93	25543	246197
94	25759	245393
95	26017	245001
96	26268	244536
97	26530	244188
98	26780	243732
99	27028	243257
100	27286	242880
101	27524	242320
102	27780	241928
103	28033	241523
104	28283	241080
105	28542	240722
106	28781	240207
107	29022	239707
108	29273	239290
109	29569	239244
110	29828	238899
111	30082	238514
112	30330	238079
113	30585	237707
114	30820	237182
115	31070	236777
116	31320	236375
117	31552	235845
118	31776	235250
119	31999	234666
120	32256	234327
121	32508	233957
122	32776	233701
123	33062	233568
124	33368	233582
125	33694	233724
126	34050	234064
127	34343	233968
128	34636	233863
129	34951	233909
130	35196	233478
131	35456	233151
132	35715	232823
133	35959	232392
134	36216	232055
135	36466	231670
136	36681	231069
137	36934	230707
138	37205	230461
139	37455	230085
140	37683	229574
141	37941	229251
142	38209	228992
143	38436	228483
144	38697	228179
145	38929	227712
146	39178	227341
147	39380	226702
148	39628	226333
149	39890	226048
150	40122	225587
151	40347	225096
152	40601	224767
153	40821	224252
154	41061	223852
155	41284	223361
156	41545	223074
157	41843	222989
158	42144	222917
159	42452	222873
160	42699	222515
161	42944	222146
162	43186	221762
163	43454	221511
164	43727	221288
165	43958	220852
166	44236	220655
167	44507	220416
168	44764	220115
169	45012	219767
170	45278	219509
171	45558	219318
172	45821	219042
173	46080	218747
174	46344	218483
175	46563	217999
176	46785	217539
177	47026	217167
178	47282	216865
179	47503	216403
180	47794	216265
181	48066	216035
182	48368	215938
183	48690	215933
184	48936	215585
185	49199	215314
186	49460	215034
187	49713	214717
188	49953	214349
189	50193	213981
190	50443	213657
191	50673	213249
192	50911	212877
193	51161	212556
194	51376	212092
195	51631	211794
196	51888	211504
197	52111	211078
198	52361	210762
199	52623	210494
200	52890	210244
201	53119	209850
202	53380	209577
203	53641	209307
204	53988	209368
205	54325	209391
206	54612	209217
207	54871	208933
208	55107	208563
209	55361	208265
210	55619	207979
211	55886	207730
212	56116	207342
213	56368	207034
214	56628	206760
215	57021	206966
216	57310	206793
217	57611	206661
218	57890	206451
219	58148	206162
220	58416	205912
221	58669	205607
222	58990	205540
223	59307	205457
224	59590	205257
225	59843	204951
226	60095	204641
227	60342	204318
228	60591	204000
229	60831	203652
230	61078	203329
231	61322	202999
232	61552	202621
233	61779	202235
234	62061	202031
235	62374	201923
236	62592	201510
237	62804	201080
238	63038	200722
239	63255	200307
240	63480	199924
241	63690	199494
242	63934	199169
243	64143	198739
244	64378	198390
245	64616	198050
246	64952	198012
247	65169	197611
248	65382	197197
249	65596	196790
250	65806	196371
251	66027	195985
252	66248	195603
253	66454	195177
254	66669	194780
255	66884	194381
256	67104	194002
257	67307	193574
258	67527	193197
259	67744	192811
260	67970	192451
261	68192	192083
262	68402	191681
263	68629	191331
264	68851	190965
265	69077	190613
266	69295	190238
267	69499	189825
268	69719	189461
269	69931	189074
270	70155	188722
271	70378	188366
272	70601	188012
273	70822	187654
274	71044	187298
275	71250	186904
276	71470	186544
277	71693	186197
278	71903	185814
279	72099	185398
280	72339	185096
281	72544	184705
282	72759	184341
283	72977	183984
284	73195	183630
285	73410	183268
286	73694	183079
287	73990	182921
288	74315	182830
289	74589	182616
290	74852	182373
291	75124	182151
292	75429	182008
293	75705	181795
294	75924	181446
295	76148	181109
296	76377	180786
297	76597	180441
298	76809	180078
299	77037	179754
300	77271	179444
301	77466	179045
302	77664	178654
303	77876	178296
304	78095	177955
305	78328	177645
306	78523	177252
307	78719	176863
308	78920	176484
309	79134	176137
310	79323	175736
311	79554	175428
312	79774	175097
313	80024	174830
314	80266	174546
315	80572	174403
316	80814	174121
317	81060	173847
318	81311	173582
319	81515	173220
320	81772	172970
321	82053	172771
322	82290	172478
323	82571	172279
324	82889	172154
325	83141	171893
326	83371	171586
327	83603	171285
328	83833	170979
329	84081	170711
330	84289	170361
331	84514	170047
332	84737	169728
333	84940	169372
334	85167	169064
335	85375	168717
336	85605	168416
337	85805	168057
338	86012	167711
339	86224	167377
340	86438	167047
341	86655	166723
